station,model,history_hours,horizon,n,mae,rmse,mase,bias,high_n,high_mae,high_bias,overall_pinball,overall_coverage80,overall_width80,high_pinball,high_coverage80,high_width80
Aotizhongxin,LightGBM global+local,168,24,140,60.36187838637968,83.48171816261211,1.0723376960350228,4.952742655145712,28,90.88914493086057,-88.19425646549305,,,,,,
Aotizhongxin,LightGBM global+local,720,1,140,11.364082065123439,18.612399853022342,0.2018845984424687,2.95030002954821,32,21.83600092749221,2.647101324886118,,,,,,
Aotizhongxin,LightGBM global+local,720,6,140,40.69035565917571,75.55220465145065,0.722870185700713,-8.635334068368456,33,84.98802763746488,-67.58602241576398,,,,,,
Aotizhongxin,LightGBM global+local,720,24,140,60.81534711382878,83.33547474426882,1.080393635038512,4.11330668096507,28,92.0758548485246,-91.45791316248206,,,,,,
Aotizhongxin,LightGBM global+local,2160,1,140,11.597550629952178,19.744883572799882,0.20603220202270361,3.43636448345872,32,22.362274765469962,4.031651781147938,,,,,,
Aotizhongxin,LightGBM global+local,2160,6,140,41.248709659716766,76.32781988111998,0.7327894270914389,-8.12810311030599,33,86.54912122489648,-67.2493832065807,,,,,,
Aotizhongxin,LightGBM global+local,2160,24,140,62.06910304705969,84.08162227869595,1.1026667946016586,6.300583191478456,28,92.81700509805924,-85.51840583721493,,,,,,
Aotizhongxin,Persistence,24,1,140,12.585714285714285,21.041455680224626,0.22358707550001056,1.4714285714285715,32,23.0625,-3.0625,,,,,,
Aotizhongxin,Persistence,24,6,140,42.864285714285714,76.15684004548959,0.7614903746172323,-4.578571428571428,33,74.78787878787878,-40.60606060606061,,,,,,
Aotizhongxin,Persistence,24,24,140,77.18571428571428,110.97766828124863,1.3712156287475108,4.942857142857143,28,103.46428571428571,-73.46428571428571,,,,,,
Aotizhongxin,Persistence,72,1,140,12.585714285714285,21.041455680224626,0.22358707550001056,1.4714285714285715,32,23.0625,-3.0625,,,,,,
Aotizhongxin,Persistence,72,6,140,42.864285714285714,76.15684004548959,0.7614903746172323,-4.578571428571428,33,74.78787878787878,-40.60606060606061,,,,,,
Aotizhongxin,Persistence,72,24,140,77.18571428571428,110.97766828124863,1.3712156287475108,4.942857142857143,28,103.46428571428571,-73.46428571428571,,,,,,
Aotizhongxin,Persistence,168,1,140,12.585714285714285,21.041455680224626,0.22358707550001056,1.4714285714285715,32,23.0625,-3.0625,,,,,,
Aotizhongxin,Persistence,168,6,140,42.864285714285714,76.15684004548959,0.7614903746172323,-4.578571428571428,33,74.78787878787878,-40.60606060606061,,,,,,
Aotizhongxin,Persistence,168,24,140,77.18571428571428,110.97766828124863,1.3712156287475108,4.942857142857143,28,103.46428571428571,-73.46428571428571,,,,,,
Aotizhongxin,Persistence,720,1,140,12.585714285714285,21.041455680224626,0.22358707550001056,1.4714285714285715,32,23.0625,-3.0625,,,,,,
Aotizhongxin,Persistence,720,6,140,42.864285714285714,76.15684004548959,0.7614903746172323,-4.578571428571428,33,74.78787878787878,-40.60606060606061,,,,,,
Aotizhongxin,Persistence,720,24,140,77.18571428571428,110.97766828124863,1.3712156287475108,4.942857142857143,28,103.46428571428571,-73.46428571428571,,,,,,
Aotizhongxin,Persistence,2160,1,140,12.585714285714285,21.041455680224626,0.22358707550001056,1.4714285714285715,32,23.0625,-3.0625,,,,,,
Aotizhongxin,Persistence,2160,6,140,42.864285714285714,76.15684004548959,0.7614903746172323,-4.578571428571428,33,74.78787878787878,-40.60606060606061,,,,,,
Aotizhongxin,Persistence,2160,24,140,77.18571428571428,110.97766828124863,1.3712156287475108,4.942857142857143,28,103.46428571428571,-73.46428571428571,,,,,,
Aotizhongxin,Seasonal day,24,1,140,75.94285714285714,107.33592129385204,1.3491360878071015,5.628571428571429,32,108.65625,-59.84375,,,,,,
Aotizhongxin,Seasonal day,24,6,140,89.79285714285714,143.03383715550868,1.5951833859878735,2.5357142857142856,33,137.78787878787878,-97.3030303030303,,,,,,
Aotizhongxin,Seasonal day,24,24,140,77.18571428571428,110.97766828124863,1.3712156287475108,4.942857142857143,28,103.46428571428571,-73.46428571428571,,,,,,
Aotizhongxin,Seasonal day,72,1,140,75.94285714285714,107.33592129385204,1.3491360878071015,5.628571428571429,32,108.65625,-59.84375,,,,,,
Aotizhongxin,Seasonal day,72,6,140,89.79285714285714,143.03383715550868,1.5951833859878735,2.5357142857142856,33,137.78787878787878,-97.3030303030303,,,,,,
Aotizhongxin,Seasonal day,72,24,140,77.18571428571428,110.97766828124863,1.3712156287475108,4.942857142857143,28,103.46428571428571,-73.46428571428571,,,,,,
Aotizhongxin,Seasonal day,168,1,140,75.94285714285714,107.33592129385204,1.3491360878071015,5.628571428571429,32,108.65625,-59.84375,,,,,,
Aotizhongxin,Seasonal day,168,6,140,89.79285714285714,143.03383715550868,1.5951833859878735,2.5357142857142856,33,137.78787878787878,-97.3030303030303,,,,,,
Aotizhongxin,Seasonal day,168,24,140,77.18571428571428,110.97766828124863,1.3712156287475108,4.942857142857143,28,103.46428571428571,-73.46428571428571,,,,,,
Aotizhongxin,Seasonal day,720,1,140,75.94285714285714,107.33592129385204,1.3491360878071015,5.628571428571429,32,108.65625,-59.84375,,,,,,
Aotizhongxin,Seasonal day,720,6,140,89.79285714285714,143.03383715550868,1.5951833859878735,2.5357142857142856,33,137.78787878787878,-97.3030303030303,,,,,,
Aotizhongxin,Seasonal day,720,24,140,77.18571428571428,110.97766828124863,1.3712156287475108,4.942857142857143,28,103.46428571428571,-73.46428571428571,,,,,,
Aotizhongxin,Seasonal day,2160,1,140,75.94285714285714,107.33592129385204,1.3491360878071015,5.628571428571429,32,108.65625,-59.84375,,,,,,
Aotizhongxin,Seasonal day,2160,6,140,89.79285714285714,143.03383715550868,1.5951833859878735,2.5357142857142856,33,137.78787878787878,-97.3030303030303,,,,,,
Aotizhongxin,Seasonal day,2160,24,140,77.18571428571428,110.97766828124863,1.3712156287475108,4.942857142857143,28,103.46428571428571,-73.46428571428571,,,,,,
Aotizhongxin,Seasonal week,168,1,140,104.25,142.72673690858147,1.852016666811949,-1.3785714285714286,32,175.46875,-149.59375,,,,,,
Aotizhongxin,Seasonal week,168,6,140,102.16428571428571,146.49692829544242,1.8149636440843655,-11.092857142857143,33,191.15151515151516,-169.6969696969697,,,,,,
Aotizhongxin,Seasonal week,168,24,140,104.71428571428571,143.55755441136293,1.8602647711862403,7.614285714285714,28,181.25,-126.96428571428571,,,,,,
Aotizhongxin,Seasonal week,720,1,140,104.25,142.72673690858147,1.852016666811949,-1.3785714285714286,32,175.46875,-149.59375,,,,,,
Aotizhongxin,Seasonal week,720,6,140,102.16428571428571,146.49692829544242,1.8149636440843655,-11.092857142857143,33,191.15151515151516,-169.6969696969697,,,,,,
Aotizhongxin,Seasonal week,720,24,140,104.71428571428571,143.55755441136293,1.8602647711862403,7.614285714285714,28,181.25,-126.96428571428571,,,,,,
Aotizhongxin,Seasonal week,2160,1,140,104.25,142.72673690858147,1.852016666811949,-1.3785714285714286,32,175.46875,-149.59375,,,,,,
Aotizhongxin,Seasonal week,2160,6,140,102.16428571428571,146.49692829544242,1.8149636440843655,-11.092857142857143,33,191.15151515151516,-169.6969696969697,,,,,,
Aotizhongxin,Seasonal week,2160,24,140,104.71428571428571,143.55755441136293,1.8602647711862403,7.614285714285714,28,181.25,-126.96428571428571,,,,,,
Changping,Chronos-2,24,1,147,12.328447880388117,19.78903538652073,0.2750057192113154,-0.7333135864361614,23,23.45962789784307,-6.775593633237093,4.334492733689392,0.8367346938775511,47.01015821119555,7.710414742732392,0.8695652173913043,103.51081582774286
Changping,Chronos-2,24,6,147,39.604712570605635,63.627249732598656,0.8834463648877383,-0.7013329226954453,24,63.550324122111,-34.25270652770996,13.63713986435715,0.6462585034013606,97.11553732878497,21.325323486328124,0.7916666666666666,178.80466016133627
Changping,Chronos-2,24,24,147,67.49882941343347,96.8927176113334,1.505669189573504,-0.8162423283064446,28,121.51769052233014,-65.76862675803048,23.900507639865484,0.5578231292517006,145.32704935592858,43.58236307643709,0.6071428571428571,272.4147120203291
Changping,Chronos-2,72,1,147,11.493971649481326,19.046419106828633,0.2563913941744766,-0.023372611221002072,23,19.744870393172555,-5.005068571671195,4.0253056110978935,0.7755102040816326,40.27851667209547,6.537493741685065,0.8260869565217391,82.33955781356148
Changping,Chronos-2,72,6,147,37.23843173591458,62.579202862276915,0.8306626917835715,2.096544473349643,24,72.1802126566569,-24.07362111409505,12.53693906206663,0.7278911564625851,93.9929691982918,22.54656269815233,0.7916666666666666,189.10473744074503
Changping,Chronos-2,72,24,147,66.64674666463112,96.6255796089204,1.4866621230363848,0.34411428088233587,28,124.54738943917411,-67.625002179827,21.971085669610503,0.5986394557823129,163.76291056392955,41.30874402636574,0.6071428571428571,294.46821090153287
