model,history_hours,horizon,n,mae,rmse,mase,bias,high_n,high_mae,high_bias,overall_pinball,overall_coverage80,overall_width80,high_pinball,high_coverage80,high_width80,mae_ci_low,mae_ci_high,delta_vs_persistence,delta_ci_low,delta_ci_high
Seasonal day,168,6,1596,81.58959899749374,124.40299791292938,1.5281250754277933,1.4342105263157894,324,126.11111111111111,-96.91358024691358,,,,,,,76.02660536549679,86.26614097831288,42.290726817042604,39.06342229628295,45.2712467005807
Seasonal day,168,24,1596,76.43671679197995,108.74563051170594,1.433471810685384,3.4342105263157894,349,111.4756446991404,-68.02578796561605,,,,,,,72.30500420479179,80.36421127081658,0.0,0.0,0.0
Seasonal day,720,1,1596,79.99937343358395,116.32999848003917,1.5012713939308373,4.3314536340852134,328,130.0640243902439,-70.96646341463415,,,,,,,75.69470802919709,84.5429799411185,68.24937343358395,64.43239899662437,72.59389907385707
Seasonal day,720,6,1596,81.58959899749374,124.40299791292938,1.5281250754277933,1.4342105263157894,324,126.11111111111111,-96.91358024691358,,,,,,,76.02660536549679,86.26614097831288,42.290726817042604,39.06342229628295,45.2712467005807
Seasonal day,720,24,1596,76.43671679197995,108.74563051170594,1.433471810685384,3.4342105263157894,349,111.4756446991404,-68.02578796561605,,,,,,,72.30500420479179,80.36421127081658,0.0,0.0,0.0
Seasonal day,2160,1,1596,79.99937343358395,116.32999848003917,1.5012713939308373,4.3314536340852134,328,130.0640243902439,-70.96646341463415,,,,,,,75.69470802919709,84.5429799411185,68.24937343358395,64.43239899662437,72.59389907385707
Seasonal day,2160,6,1596,81.58959899749374,124.40299791292938,1.5281250754277933,1.4342105263157894,324,126.11111111111111,-96.91358024691358,,,,,,,76.02660536549679,86.26614097831288,42.290726817042604,39.06342229628295,45.2712467005807
Seasonal day,2160,24,1596,76.43671679197995,108.74563051170594,1.433471810685384,3.4342105263157894,349,111.4756446991404,-68.02578796561605,,,,,,,72.30500420479179,80.36421127081658,0.0,0.0,0.0
Seasonal week,168,1,1596,102.41854636591479,143.486243260504,1.9202102053092098,-4.605263157894737,328,190.6280487804878,-164.8780487804878,,,,,,,96.66874846537648,107.83273871165785,90.66854636591479,85.49449753900812,95.57944747189073
Seasonal week,168,6,1596,96.18170426065163,138.56821560494978,1.8007025386196474,-6.268170426065163,324,182.62962962962962,-164.4814814814815,,,,,,,89.47594247003097,102.49806908649728,56.8828320802005,52.4398311701373,61.233543432497136
Seasonal week,168,24,1596,102.531328320802,142.50042430574828,1.9224147661217663,3.073934837092732,349,177.72779369627509,-144.7077363896848,,,,,,,95.47263328203788,108.85549746327649,26.094611528822057,22.501664136000954,28.87814320625611
Seasonal week,720,1,1596,102.41854636591479,143.486243260504,1.9202102053092098,-4.605263157894737,328,190.6280487804878,-164.8780487804878,,,,,,,96.66874846537648,107.83273871165785,90.66854636591479,85.49449753900812,95.57944747189073
Seasonal week,720,6,1596,96.18170426065163,138.56821560494978,1.8007025386196474,-6.268170426065163,324,182.62962962962962,-164.4814814814815,,,,,,,89.47594247003097,102.49806908649728,56.8828320802005,52.4398311701373,61.233543432497136
Seasonal week,720,24,1596,102.531328320802,142.50042430574828,1.9224147661217663,3.073934837092732,349,177.72779369627509,-144.7077363896848,,,,,,,95.47263328203788,108.85549746327649,26.094611528822057,22.501664136000954,28.87814320625611
Seasonal week,2160,1,1596,102.41854636591479,143.486243260504,1.9202102053092098,-4.605263157894737,328,190.6280487804878,-164.8780487804878,,,,,,,96.66874846537648,107.83273871165785,90.66854636591479,85.49449753900812,95.57944747189073
Seasonal week,2160,6,1596,96.18170426065163,138.56821560494978,1.8007025386196474,-6.268170426065163,324,182.62962962962962,-164.4814814814815,,,,,,,89.47594247003097,102.49806908649728,56.8828320802005,52.4398311701373,61.233543432497136
Seasonal week,2160,24,1596,102.531328320802,142.50042430574828,1.9224147661217663,3.073934837092732,349,177.72779369627509,-144.7077363896848,,,,,,,95.47263328203788,108.85549746327649,26.094611528822057,22.501664136000954,28.87814320625611
